date,Qualification,geography_name,geography_code,school_type_group,Institution,subject_area,Subject,Number at grade A*.,Number at grade A.,Number at grade B.,Number at grade C.,Number at grade D.,Number at grade E.,Number at grade U.,Exam entries,astar_a_grade_achieved,astar_b_grade_achieved,astar_c_grade_achieved,astar_d_grade_achieved,astar_e_grade_achieved,Percent achieving grade A*,perc_a_grade_achieved,perc_b_grade_achieved,perc_c_grade_achieved,perc_d_grade_achieved,perc_e_grade_achieved,Percent achieving grade A* - A,Percent achieving grade A* - B,Percent achieving grade A* - C,Percent achieving grade A* - D,Percent achieving grade A* - E
2020/21,AS level,Leeds,E08000035,State-funded institutions,All state-funded schools and colleges,Classical studies,Total Classical studies,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020/21,AS level,Leeds,E08000035,State-funded institutions,All state-funded schools and colleges,Maths,Mathematics (Pure),0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020/21,AS level,Leeds,E08000035,State-funded institutions,All state-funded schools and colleges,English,Total English,0,2,3,3,2,2,0,12,2,5,8,10,12,0,16.66667,25,25,16.66667,16.66667,16.66667,41.66667,66.66667,83.33333,100
2020/21,AS level,Leeds,E08000035,State-funded institutions,All state-funded schools and colleges,Arts,Total Arts,0,0,1,0,2,2,0,5,0,1,1,3,5,0,0,20,0,40,40,0,20,20,60,100
2020/21,AS level,Wakefield,E08000036,State-funded institutions,All state-funded schools and colleges,Arts,Communication Studies,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020/21,AS level,Wakefield,E08000036,State-funded institutions,All state-funded schools and colleges,Science -Chemistry,Total Chemistry,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020/21,AS level,Wakefield,E08000036,State-funded institutions,All state-funded schools and colleges,Art & Design,3d Studies,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020/21,AS level,Wakefield,E08000036,State-funded institutions,All state-funded schools and colleges,Art & Design,Photography,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020/21,AS level,Wakefield,E08000036,State-funded institutions,All state-funded schools and colleges,General studies,General Studies,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020/21,AS level,Wakefield,E08000036,State-funded institutions,All state-funded schools and colleges,Science - other,Total Other Sciences,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020/21,AS level,Wakefield,E08000036,State-funded institutions,All state-funded schools and colleges,Art & Design,Textiles,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020/21,AS level,Wakefield,E08000036,State-funded institutions,All state-funded schools and colleges,Sociology,Total Sociology,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020/21,AS level,Wakefield,E08000036,State-funded institutions,All state-funded schools and colleges,Art & Design,Graphics,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020/21,AS level,Wakefield,E08000036,State-funded institutions,All state-funded schools and colleges,Maths,Mathematics (Statistics),0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020/21,AS level,Wakefield,E08000036,State-funded institutions,All state-funded schools and colleges,Modern languages,Total Modern languages including Other,0,2,0,0,0,0,0,2,2,2,2,2,2,0,100,0,0,0,0,100,100,100,100,100
2020/21,AS level,Wakefield,E08000036,State-funded institutions,All state-funded schools and colleges,English,English literature,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020/21,AS level,Wakefield,E08000036,State-funded institutions,All state-funded schools and colleges,Accounting and Finance,Total Accounting and finance,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020/21,AS level,Wakefield,E08000036,State-funded institutions,All state-funded schools and colleges,Classical studies,Ancient History,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
