date,geography_name,geography_code,school_type_group,Institution,characteristic_type,Characteristic,Students at end of 16-18 study,Number of level 3 students,Number of A level students,Number of academic students,Number of applied general students,Number of tech level students,APS per A level entry,Average A level result,APS per academic entry,Average academic result,APS per applied general entry,Average applied general result,APS per tech level entry,Average tech level result,% achieving ≥ 2 substantial level 3 results,% achieving ≥ 2 A levels,% achieving ≥ 2 academic results,Number of students entered for ≥ 1 A level or applied A level,APS per 'Best 3' entries,APS per 'Best 3' entries (grade),% achieving 3 A* to A,% achieving ≥ AAB,Number of students entered for ≥ 1 A level,% achieving ≥ AAB for a minimum of 2 facilitating A levels,Number of students entered for any level 3 vocational (excluding applied generals),% level 3 vocational students (excluding applied generals) who entered tech levels,Number of students entered for any level 3 vocational (excluding tech levels),% level 3 vocational students (excluding tech levels) who entered applied general,Number of students with level 2 as highest entry,% level 2 students entered for technical certificate,Number of technical certificate students,APS per entry technical certificate students,Average technical certificate result
2019/20,Wakefield,E08000036,State-funded institutions,All state-funded schools and colleges,Prior Attainment,Priors 4 to < 7,1897,1116,949,959,131,120,36.2508,B-,36.2925,B-,31.1934,Dist-,34.7222,Dist,82.527,82.613,81.752,868,30.0922,C,3.917,10.369,868,3.571,951,12.618,931,14.071,106,11.321,12,5.9314,L2Merit
2019/20,Bradford,E08000032,State-funded institutions,All state-funded schools and colleges,Prior Attainment,Priors 4 to < 7,2321,1832,1338,1360,852,235,32.3072,C+,32.2224,C+,34.8248,Dist,32.3533,Dist-,89.465,74.888,73.75,795,32.8805,C+,4.528,10.943,795,6.289,454,51.762,1025,83.61,83,9.639,8,6.1364,L2Merit
2020/21,Calderdale,E08000033,State-funded institutions,All state-funded schools and colleges,Prior Attainment,Priors 4 to < 7,890,694,551,563,369,46,35.5077,B-,35.5521,B-,38.3688,Dist+,38.4898,Dist+,97.118,78.04,76.377,280,35.119,B-,8.929,18.929,280,10,133,34.586,453,81.457,26,0,0,NA,NA
2020/21,Kirklees,E08000034,State-funded institutions,All state-funded schools and colleges,Prior Attainment,Priors 4 to < 7,2514,1838,1690,1694,450,46,35.7585,B-,35.8076,B-,35.5475,Dist,41.7734,Dist*-,89.989,84.911,84.711,1355,32.802,C+,5.683,14.539,1355,6.199,831,5.535,1144,39.336,56,12.5,8,7.125,L2Dist
2020/21,Bradford,E08000032,State-funded institutions,All state-funded schools and colleges,Prior Attainment,Priors 4 to < 7,2151,1740,1350,1372,852,149,35.6105,B-,35.5979,B-,36.3529,Dist,31.5126,Dist-,91.839,78.148,76.895,794,34.7019,C+,8.438,18.01,794,10.705,497,29.98,1150,74.696,54,9.259,5,4.5789,L2Pass-
2020/21,Leeds,E08000035,State-funded institutions,All state-funded schools and colleges,Prior Attainment,Priors 4 to < 7,3743,2892,2478,2508,1023,265,36.192,B-,36.1829,B-,34.6519,Dist,34.0239,Dist,94.64,84.826,83.812,1612,36.9024,B-,11.911,24.069,1612,11.787,778,34.062,1489,69.375,98,11.224,11,6.3333,L2Merit+
2020/21,Wakefield,E08000036,State-funded institutions,All state-funded schools and colleges,Prior Attainment,Priors 4 to < 7,1802,1178,985,993,232,124,35.9147,B-,35.9322,B-,33.2344,Dist-,32.2451,Dist-,83.616,80.203,79.557,843,29.395,C,4.152,10.795,843,3.677,919,13.602,988,23.988,50,24,12,5.6735,L2Merit-
2021/22,Bradford,E08000032,State-funded institutions,All state-funded schools and colleges,Prior Attainment,Priors 4 to < 7,2521,2071,1363,1383,1342,255,31.9976,C+,31.9588,C+,33.8167,Dist,29.9127,Merit+,96.861,71.24,70.21,604,32.6876,C+,6.291,12.748,604,6.291,401,63.591,1470,91.293,24,8.333,2,6.9,L2Dist
2021/22,Calderdale,E08000033,State-funded institutions,All state-funded schools and colleges,Prior Attainment,Priors 4 to < 7,989,735,575,584,429,39,31.9021,C+,31.833,C+,34.5871,Dist,38.729,Dist+,99.32,73.565,72.432,274,31.8978,C+,5.474,13.869,274,4.745,106,36.792,495,86.667,10,0,0,NA,NA
2021/22,Kirklees,E08000034,State-funded institutions,All state-funded schools and colleges,Prior Attainment,Priors 4 to < 7,2467,2092,1568,1570,1012,105,32.6409,C+,32.687,C+,34.9541,Dist,35.2968,Dist,97.275,81.186,81.083,1005,32.66,C+,3.881,11.94,1005,4.776,225,46.667,1118,90.519,35,17.143,6,7.1667,L2Dist
2021/22,Leeds,E08000035,State-funded institutions,All state-funded schools and colleges,Prior Attainment,Priors 4 to < 7,4217,3052,2397,2412,1314,438,31.2943,C,31.301,C,33.2161,Dist-,31.891,Dist-,96.166,79.391,78.897,1400,31.4667,C,4,9.857,1400,3.786,892,49.103,1768,75.226,47,14.894,7,6.1087,L2Merit
2021/22,Wakefield,E08000036,State-funded institutions,All state-funded schools and colleges,Prior Attainment,Priors 4 to < 7,1917,1343,937,938,681,207,34.8504,C+,34.8413,C+,34.9168,Dist,34.733,Dist,95.086,76.521,76.439,534,32.3533,C+,4.12,11.236,534,2.996,473,43.763,936,72.756,13,15.385,2,7,L2Dist
2017/18,Bradford,E08000032,State-funded institutions,All state-funded schools,Prior Attainment,Priors 7+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017/18,Calderdale,E08000033,State-funded institutions,All state-funded schools,Prior Attainment,Priors 7+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017/18,Kirklees,E08000034,State-funded institutions,All state-funded schools,Prior Attainment,Priors 7+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017/18,Leeds,E08000035,State-funded institutions,All state-funded schools,Prior Attainment,Priors 7+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017/18,Wakefield,E08000036,State-funded institutions,All state-funded schools,Prior Attainment,Priors 7+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018/19,Bradford,E08000032,State-funded institutions,All state-funded schools,Prior Attainment,Priors 7+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018/19,Calderdale,E08000033,State-funded institutions,All state-funded schools,Prior Attainment,Priors 7+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018/19,Kirklees,E08000034,State-funded institutions,All state-funded schools,Prior Attainment,Priors 7+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018/19,Leeds,E08000035,State-funded institutions,All state-funded schools,Prior Attainment,Priors 7+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018/19,Wakefield,E08000036,State-funded institutions,All state-funded schools,Prior Attainment,Priors 7+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019/20,Calderdale,E08000033,State-funded institutions,All state-funded schools,Prior Attainment,Priors 7+,186,162,162,162,9,0,48.3333,A-,48.2843,A-,44,Dist*-,NA,NA,100,100,100,152,48.443,A,52.632,71.053,152,61.184,1,0,10,90,0,NA,0,NA,NA
2019/20,Kirklees,E08000034,State-funded institutions,All state-funded schools,Prior Attainment,Priors 7+,92,90,89,89,4,0,48.9762,A,49.0333,A,47.8571,Dist*,NA,NA,100,98.876,98.876,87,48.9655,A,52.874,68.966,87,65.517,0,NA,4,100,0,NA,0,NA,NA
2019/20,Leeds,E08000035,State-funded institutions,All state-funded schools,Prior Attainment,Priors 7+,513,508,506,506,12,10,49.4986,A,49.4498,A,45.7143,Dist*-,48.6364,Dist*,99.016,99.209,99.209,489,49.6387,A,53.988,70.757,489,58.896,18,55.556,19,63.158,0,NA,0,NA,NA
2019/20,Wakefield,E08000036,State-funded institutions,All state-funded schools,Prior Attainment,Priors 7+,226,220,219,220,4,0,48.3613,A,48.3448,A,40,Dist+,NA,NA,97.727,97.717,97.273,215,46.6667,A-,41.86,61.86,215,45.116,25,0,28,14.286,0,NA,0,NA,NA
2019/20,Bradford,E08000032,State-funded institutions,All state-funded schools,Prior Attainment,Priors 7+,334,328,328,328,16,2,47.8425,A-,47.5923,A-,47.7778,Dist*,42.5,Dist*-,99.695,98.78,98.78,312,48.1731,A-,47.115,65.705,312,56.731,6,33.333,21,85.714,0,NA,0,NA,NA
2020/21,Calderdale,E08000033,State-funded institutions,All state-funded schools,Prior Attainment,Priors 7+,187,182,181,181,7,0,50.3052,A,50.2134,A,44.1111,Dist*-,NA,NA,100,100,100,175,50.1143,A,55.429,77.143,175,62.286,1,0,8,87.5,0,NA,0,NA,NA
2020/21,Kirklees,E08000034,State-funded institutions,All state-funded schools,Prior Attainment,Priors 7+,126,122,122,122,5,0,49.2031,A,49.1811,A,43.8,Dist*-,NA,NA,100,100,100,118,49.661,A,56.78,74.576,118,66.949,0,NA,5,100,0,NA,0,NA,NA
2020/21,Bradford,E08000032,State-funded institutions,All state-funded schools,Prior Attainment,Priors 7+,363,361,359,359,25,1,49.6242,A,49.6325,A,47.283,Dist*,50,Dist*,99.169,99.164,99.164,341,49.8534,A,57.185,71.554,341,60.117,5,20,29,86.207,0,NA,0,NA,NA
2020/21,Leeds,E08000035,State-funded institutions,All state-funded schools,Prior Attainment,Priors 7+,549,540,539,540,23,12,50.9572,A,50.8672,A,48,Dist*,45.1613,Dist*-,99.63,99.443,99.259,518,51.2227,A,61.776,78.764,518,64.672,14,85.714,25,92,0,NA,0,NA,NA
2020/21,Wakefield,E08000036,State-funded institutions,All state-funded schools,Prior Attainment,Priors 7+,269,263,262,262,7,0,49.4182,A,49.417,A,47.7,Dist*,NA,NA,97.719,97.328,97.328,254,47.7428,A-,46.457,64.173,254,40.157,26,0,33,21.212,0,NA,0,NA,NA
2021/22,Bradford,E08000032,State-funded institutions,All state-funded schools,Prior Attainment,Priors 7+,546,537,533,535,67,8,44.8209,B+,44.8013,B+,45.891,Dist*-,41.875,Dist*-,99.814,98.124,97.757,469,44.7406,B+,33.475,50.746,469,39.446,12,66.667,72,94.444,0,NA,0,NA,NA
2021/22,Calderdale,E08000033,State-funded institutions,All state-funded schools,Prior Attainment,Priors 7+,231,226,223,223,17,0,45.2679,A-,45.2347,A-,44.7391,Dist*-,NA,NA,100,99.552,99.552,209,45.0877,A-,33.971,50.718,209,39.713,0,NA,17,100,0,NA,0,NA,NA
2021/22,Kirklees,E08000034,State-funded institutions,All state-funded schools,Prior Attainment,Priors 7+,171,169,169,169,6,2,46.0472,A-,46.0756,A-,47.5,Dist*,46.25,Dist*-,99.408,97.633,97.633,161,45.8592,A-,36.646,56.522,161,45.342,5,40,8,75,0,NA,0,NA,NA
2021/22,Leeds,E08000035,State-funded institutions,All state-funded schools,Prior Attainment,Priors 7+,740,733,733,733,45,14,45.0022,A-,45.0515,A-,48.0842,Dist*,48.9535,Dist*,100,99.045,99.181,680,44.9902,B+,34.265,50,680,37.206,18,77.778,49,91.837,0,NA,0,NA,NA
2021/22,Wakefield,E08000036,State-funded institutions,All state-funded schools,Prior Attainment,Priors 7+,474,461,454,454,54,14,46.0713,A-,46.1052,A-,45.9237,Dist*-,42.8125,Dist*-,96.312,93.833,93.833,405,43.8519,B+,32.346,49.63,405,31.358,37,37.838,76,71.053,0,NA,0,NA,NA
2017/18,Bradford,E08000032,State-funded institutions,All state-funded schools and colleges,Prior Attainment,Priors 7+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017/18,Calderdale,E08000033,State-funded institutions,All state-funded schools and colleges,Prior Attainment,Priors 7+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017/18,Kirklees,E08000034,State-funded institutions,All state-funded schools and colleges,Prior Attainment,Priors 7+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017/18,Leeds,E08000035,State-funded institutions,All state-funded schools and colleges,Prior Attainment,Priors 7+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017/18,Wakefield,E08000036,State-funded institutions,All state-funded schools and colleges,Prior Attainment,Priors 7+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018/19,Bradford,E08000032,State-funded institutions,All state-funded schools and colleges,Prior Attainment,Priors 7+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018/19,Calderdale,E08000033,State-funded institutions,All state-funded schools and colleges,Prior Attainment,Priors 7+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018/19,Kirklees,E08000034,State-funded institutions,All state-funded schools and colleges,Prior Attainment,Priors 7+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018/19,Leeds,E08000035,State-funded institutions,All state-funded schools and colleges,Prior Attainment,Priors 7+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018/19,Wakefield,E08000036,State-funded institutions,All state-funded schools and colleges,Prior Attainment,Priors 7+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019/20,Calderdale,E08000033,State-funded institutions,All state-funded schools and colleges,Prior Attainment,Priors 7+,164,162,162,162,9,0,48.3333,A-,48.2843,A-,44,Dist*-,NA,NA,100,100,100,153,48.2571,A-,52.288,70.588,153,60.784,2,0,11,81.818,0,NA,0,NA,NA
2019/20,Kirklees,E08000034,State-funded institutions,All state-funded schools and colleges,Prior Attainment,Priors 7+,600,585,583,583,8,0,49.5536,A,49.573,A,47,Dist*,NA,NA,99.829,99.314,99.314,578,49.4694,A,54.671,72.491,578,60.9,7,0,14,57.143,1,0,0,NA,NA
2019/20,Leeds,E08000035,State-funded institutions,All state-funded schools and colleges,Prior Attainment,Priors 7+,650,636,624,626,19,13,49.5364,A,49.5313,A,39.4118,Dist+,49.2405,Dist*,98.428,99.359,99.042,606,49.626,A,54.29,71.452,606,57.921,28,46.429,31,61.29,1,100,1,8,L2Dist*
2019/20,Wakefield,E08000036,State-funded institutions,All state-funded schools and colleges,Prior Attainment,Priors 7+,233,223,221,222,4,1,48.2704,A-,48.2555,A-,40,Dist+,31.6667,Dist-,97.758,97.738,97.297,217,46.5899,A-,41.935,61.751,217,44.7,29,3.448,31,12.903,1,0,0,NA,NA
2019/20,Bradford,E08000032,State-funded institutions,All state-funded schools and colleges,Prior Attainment,Priors 7+,345,341,340,341,16,2,47.4693,A-,47.233,A-,47.7778,Dist*,42.5,Dist*-,99.413,98.824,98.534,323,47.7503,A-,46.13,64.396,323,55.728,8,25,23,78.261,0,NA,0,NA,NA
2020/21,Calderdale,E08000033,State-funded institutions,All state-funded schools and colleges,Prior Attainment,Priors 7+,191,184,181,181,7,2,50.3052,A,50.2134,A,44.1111,Dist*-,50,Dist*,100,100,100,175,50.1143,A,55.429,77.143,175,62.286,5,40,10,70,1,0,0,NA,NA
2020/21,Kirklees,E08000034,State-funded institutions,All state-funded schools and colleges,Prior Attainment,Priors 7+,678,665,664,664,8,1,48.9924,A,49.0159,A,45.125,Dist*-,50,Dist*,99.699,99.849,99.849,658,49.0527,A,55.319,70.821,658,56.383,13,7.692,20,40,0,NA,0,NA,NA
2020/21,Bradford,E08000032,State-funded institutions,All state-funded schools and colleges,Prior Attainment,Priors 7+,378,365,363,363,25,1,49.6104,A,49.6191,A,47.283,Dist*,50,Dist*,99.178,99.174,99.174,345,49.8357,A,57.101,71.304,345,60,7,14.286,31,80.645,1,0,0,NA,NA
2020/21,Leeds,E08000035,State-funded institutions,All state-funded schools and colleges,Prior Attainment,Priors 7+,720,692,690,691,25,12,50.9392,A,50.9043,A,46.6296,Dist*-,45.1613,Dist*-,99.566,99.42,99.276,667,51.1744,A,62.219,78.561,667,62.819,26,46.154,39,64.103,1,0,0,NA,NA
2020/21,Wakefield,E08000036,State-funded institutions,All state-funded schools and colleges,Prior Attainment,Priors 7+,286,273,270,270,8,1,49.3856,A,49.385,A,48.2308,Dist*,25,Merit,97.802,97.407,97.407,262,47.7608,A-,46.183,64.122,262,40.076,34,2.941,41,19.512,0,NA,0,NA,NA
2021/22,Bradford,E08000032,State-funded institutions,All state-funded schools and colleges,Prior Attainment,Priors 7+,556,541,536,538,67,9,44.7225,B+,44.7044,B+,45.891,Dist*-,40,Dist+,99.815,98.134,97.77,472,44.6328,B+,33.263,50.424,472,39.195,14,64.286,73,93.151,0,NA,0,NA,NA
2021/22,Calderdale,E08000033,State-funded institutions,All state-funded schools and colleges,Prior Attainment,Priors 7+,234,226,223,223,17,0,45.2679,A-,45.2347,A-,44.7391,Dist*-,NA,NA,100,99.552,99.552,209,45.0877,A-,33.971,50.718,209,39.713,3,0,20,85,0,NA,0,NA,NA
2021/22,Kirklees,E08000034,State-funded institutions,All state-funded schools and colleges,Prior Attainment,Priors 7+,1022,1002,1000,1000,37,4,45.799,A-,45.8362,A-,44,Dist*-,47.5,Dist*,99.501,98.8,98.8,963,45.7632,A-,39.148,56.179,963,44.029,16,25,48,77.083,1,0,0,NA,NA
2021/22,Leeds,E08000035,State-funded institutions,All state-funded schools and colleges,Prior Attainment,Priors 7+,1052,1002,984,984,65,25,44.9958,B+,45.0277,A-,45.0395,Dist*-,43.8372,Dist*-,99.8,99.187,99.289,918,44.9346,B+,34.749,51.525,918,36.928,62,40.323,103,64.078,0,NA,0,NA,NA
2021/22,Wakefield,E08000036,State-funded institutions,All state-funded schools and colleges,Prior Attainment,Priors 7+,511,489,480,480,58,15,45.4257,A-,45.4605,A-,45.3986,Dist*-,44.026,Dist*-,96.319,93.958,93.958,428,43.2632,B+,31.075,47.897,428,30.374,46,32.609,88,65.909,1,100,1,6.5,L2Dist-
2017/18,Bradford,E08000032,State-funded institutions,All state-funded schools,Prior Attainment,Unknown prior attainment,3018,2300,1878,1891,895,107,29.8073,C,29.8939,C,29.3138,Merit+,30.9059,Dist-,80.174,67.945,67.742,1134,31.1728,C,8.554,15.52,1134,12.434,475,22.526,1150,78.087,105,2.857,9,5.75,L2Merit-
2017/18,Calderdale,E08000033,State-funded institutions,All state-funded schools,Prior Attainment,Unknown prior attainment,1386,1157,1075,1081,262,28,29.5508,C,29.6578,C,28.8269,Merit+,24.386,Merit,77.442,68.372,68.178,759,28.4541,C,6.324,11.067,749,8.945,248,11.29,442,59.276,39,43.59,17,6,L2Merit
2017/18,Kirklees,E08000034,State-funded institutions,All state-funded schools,Prior Attainment,Unknown prior attainment,970,869,811,813,217,44,29.8899,C,29.8938,C,27.1148,Merit+,34.2169,Dist,84.925,75.092,74.908,537,32.6754,C+,7.635,15.084,536,12.313,64,68.75,219,99.087,17,0,0,NA,NA
2017/18,Leeds,E08000035,State-funded institutions,All state-funded schools,Prior Attainment,Unknown prior attainment,3521,2919,2716,2746,537,133,30.9237,C,30.9326,C,26.3842,Merit,30.874,Dist-,76.602,70.876,70.32,1933,30.7346,C,8.795,15.727,1927,12.455,476,27.941,835,64.671,53,49.057,33,6.1173,L2Merit
2017/18,Wakefield,E08000036,State-funded institutions,All state-funded schools,Prior Attainment,Unknown prior attainment,2103,1448,1378,1378,156,35,31.4763,C,31.5122,C,32.6701,Dist-,33.1343,Dist-,78.453,76.052,76.052,1048,30.6202,C,8.015,13.836,1043,9.3,779,4.493,901,17.314,93,31.183,29,4.6829,L2Pass-
2018/19,Bradford,E08000032,State-funded institutions,All state-funded schools,Prior Attainment,Unknown prior attainment,3105,2428,1924,1941,1015,199,29.2483,C,29.3036,C,29.3919,Merit+,31.6446,Dist-,83.196,72.193,71.716,1193,30.3073,C,5.951,11.4,1193,9.22,343,58.017,1101,92.916,100,0,0,NA,NA
2018/19,Calderdale,E08000033,State-funded institutions,All state-funded schools,Prior Attainment,Unknown prior attainment,1235,1005,870,873,299,45,31.9363,C+,31.9825,C+,27.8225,Merit+,31.7407,Dist-,84.279,75.862,75.716,619,30.6408,C,9.208,14.863,619,11.309,92,48.913,330,90.606,34,0,0,NA,NA
2018/19,Kirklees,E08000034,State-funded institutions,All state-funded schools,Prior Attainment,Unknown prior attainment,883,750,631,634,244,22,30.3591,C,30.4139,C,29.8682,Merit+,30.2778,Dist-,83.867,75.436,75.079,451,31.2712,C,8.869,14.412,451,11.086,48,45.833,250,97.6,11,0,0,NA,NA
2018/19,Leeds,E08000035,State-funded institutions,All state-funded schools,Prior Attainment,Unknown prior attainment,3587,2876,2637,2669,739,195,31.2011,C,31.3319,C,26.6987,Merit+,32.584,Dist-,84.527,75.616,74.747,1834,31.0542,C,8.342,14.722,1834,11.014,380,51.316,905,83.978,69,17.391,12,6.0547,L2Merit
2018/19,Wakefield,E08000036,State-funded institutions,All state-funded schools,Prior Attainment,Unknown prior attainment,2017,1276,1199,1211,80,46,34.5591,C+,34.591,C+,26.6992,Merit+,36.9106,Dist+,80.329,78.982,78.2,1039,30.8758,C,7.218,14.148,1039,8.951,739,6.225,771,10.376,134,0,0,NA,NA
2019/20,Calderdale,E08000033,State-funded institutions,All state-funded schools,Prior Attainment,Unknown prior attainment,22,3,2,3,0,0,32.8571,C+,33.3333,C+,NA,NA,NA,NA,66.667,100,66.667,2,31.6667,C,0,0,2,0,0,NA,0,NA,0,NA,0,NA,NA
2019/20,Kirklees,E08000034,State-funded institutions,All state-funded schools,Prior Attainment,Unknown prior attainment,42,7,7,7,1,0,41.8182,B+,41.8182,B+,42,Dist*-,NA,NA,100,100,100,6,42.2222,B+,33.333,50,6,50,0,NA,1,100,0,NA,0,NA,NA
2019/20,Leeds,E08000035,State-funded institutions,All state-funded schools,Prior Attainment,Unknown prior attainment,106,19,19,19,3,1,39.619,B,39.8507,B,30,Dist-,25,Merit,94.737,78.947,78.947,15,40.2222,B,20,20,15,20,4,25,6,50,1,0,0,NA,NA
2019/20,Wakefield,E08000036,State-funded institutions,All state-funded schools,Prior Attainment,Unknown prior attainment,44,6,5,5,1,0,43.5294,B+,42.2857,B+,34,Dist,NA,NA,83.333,100,100,5,44,B+,40,60,5,20,1,0,1,100,0,NA,0,NA,NA
2019/20,Bradford,E08000032,State-funded institutions,All state-funded schools,Prior Attainment,Unknown prior attainment,85,7,4,4,3,0,35,B-,33.5938,C+,29.3846,Merit+,NA,NA,85.714,100,100,4,35,B-,25,25,4,25,0,NA,3,100,0,NA,0,NA,NA
2020/21,Calderdale,E08000033,State-funded institutions,All state-funded schools,Prior Attainment,Unknown prior attainment,7,6,6,6,0,0,47.0968,A-,47.0968,A-,NA,NA,NA,NA,83.333,83.333,83.333,5,48,A-,40,60,5,60,0,NA,0,NA,0,NA,0,NA,NA
2020/21,Kirklees,E08000034,State-funded institutions,All state-funded schools,Prior Attainment,Unknown prior attainment,7,4,3,3,1,0,41.5789,B,41.5789,B,40,Dist+,NA,NA,100,100,100,3,41.1111,B,33.333,33.333,3,33.333,0,NA,1,100,0,NA,0,NA,NA
2020/21,Bradford,E08000032,State-funded institutions,All state-funded schools,Prior Attainment,Unknown prior attainment,10,5,4,4,1,0,41.8182,B+,42.1186,B+,36.6667,Dist,NA,NA,100,100,100,3,42.2222,B+,33.333,66.667,3,33.333,0,NA,1,100,1,100,1,6.5,L2Dist-
2020/21,Leeds,E08000035,State-funded institutions,All state-funded schools,Prior Attainment,Unknown prior attainment,47,11,9,9,6,2,27.8947,C-,27.8947,C-,29.6667,Merit+,25,Merit,81.818,77.778,77.778,4,28.3333,C-,0,0,4,0,2,100,6,100,0,NA,0,NA,NA
2020/21,Wakefield,E08000036,State-funded institutions,All state-funded schools,Prior Attainment,Unknown prior attainment,8,4,3,3,1,0,37.5,B-,37.5,B-,15,Pass,NA,NA,100,100,100,3,33.3333,C+,0,0,3,0,1,0,2,50,0,NA,0,NA,NA
2021/22,Bradford,E08000032,State-funded institutions,All state-funded schools,Prior Attainment,Unknown prior attainment,102,8,6,6,3,0,44.1935,B+,44.1935,B+,31.9231,Dist-,NA,NA,87.5,83.333,83.333,4,45.8333,A-,50,50,4,25,0,NA,3,100,1,100,1,5,L2Pass
2021/22,Calderdale,E08000033,State-funded institutions,All state-funded schools,Prior Attainment,Unknown prior attainment,22,8,8,8,4,0,37,B-,36.5385,B-,42.5,Dist*-,NA,NA,100,75,75,4,44.1667,B+,25,50,4,50,0,NA,4,100,0,NA,0,NA,NA
2021/22,Kirklees,E08000034,State-funded institutions,All state-funded schools,Prior Attainment,Unknown prior attainment,49,6,6,6,2,0,34.375,C+,34.375,C+,30.5,Dist-,NA,NA,100,100,100,4,34.1667,C+,25,25,4,25,0,NA,2,100,0,NA,0,NA,NA
2021/22,Leeds,E08000035,State-funded institutions,All state-funded schools,Prior Attainment,Unknown prior attainment,122,15,15,15,1,1,39.2405,B,39.33,B,15,Pass,50,Dist*,86.667,86.667,86.667,13,37.4359,B-,30.769,38.462,13,15.385,1,100,1,100,0,NA,0,NA,NA
2021/22,Wakefield,E08000036,State-funded institutions,All state-funded schools,Prior Attainment,Unknown prior attainment,37,2,2,2,0,0,46.6667,A-,46.6667,A-,NA,NA,NA,NA,50,50,50,2,23.3333,D+,0,0,2,0,1,0,1,0,0,NA,0,NA,NA
2017/18,Bradford,E08000032,State-funded institutions,All state-funded schools and colleges,Prior Attainment,Unknown prior attainment,5513,2470,1968,1995,938,142,29.2427,C,29.3131,C,29.3282,Merit+,30.7311,Dist-,78.785,68.699,68.02,1223,30.3461,C,7.931,14.473,1222,11.538,1200,11.833,1880,50.053,932,35.515,330,5.2095,L2Pass+
