unit_title,Craven,Hambleton,Harrogate,Richmondshire,Ryedale,Scarborough,Selby,York,Total
Taxi and cab drivers and chauffeurs,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0
Fishing and other elementary agriculture occupations n.e.c.,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,8.0
Steel erectors,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
Occupational therapists,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
Typists and related keyboard occupations,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0
Rail transport operatives,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0
Bank and post office clerks,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0
Brokers,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0
IT specialist managers,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0
Fitness instructors,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0
Telecommunications engineers,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0
Assemblers (electrical and electronic products),0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0
Merchandisers and window dressers,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,5.0
Paper and wood machine operatives,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0
"Actors, entertainers and presenters",0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Shelf fillers,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0
Leisure and travel service occupations n.e.c.,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0
Advertising and public relations directors,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,4.0
"Arts officers, producers and directors",0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0
Careers advisers and vocational guidance specialists,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0
Elementary cleaning occupations n.e.c.,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Youth and community workers,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0
"Moulders, core makers and die casters",0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0
"Photographers, audio-visual and broadcasting equipment operators",0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0
Insurance underwriters,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0
Bricklayers and masons,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0
Refuse and salvage occupations,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0
"Glaziers, window fabricators and fitters",0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0
Upholsterers,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
Childminders and related occupations,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
Agricultural and fishing trades n.e.c.,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
"Actuaries, economists and statisticians",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Road construction operatives,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Elementary security occupations n.e.c.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
NCOs and other ranks,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
