unit_title,Bradford,Calderdale,Kirklees,Leeds,Wakefield,Total
Floorers and wall tilers,6.0,3.0,0.0,0.0,0.0,9.0
Tailors and dressmakers,6.0,0.0,3.0,0.0,0.0,9.0
Air traffic controllers,0.0,0.0,8.0,0.0,0.0,8.0
Production managers and directors in mining and energy,0.0,2.0,6.0,0.0,0.0,8.0
Further education teaching professionals,0.0,0.0,0.0,0.0,8.0,8.0
Local government administrative occupations,5.0,3.0,0.0,0.0,0.0,8.0
"Weighers, graders and sorters",6.0,2.0,0.0,0.0,0.0,8.0
Animal care services occupations n.e.c.,7.0,0.0,0.0,0.0,0.0,7.0
Boat and ship builders and repairers,0.0,0.0,7.0,0.0,0.0,7.0
Conservation professionals,0.0,0.0,0.0,0.0,7.0,7.0
Farm workers,6.0,0.0,0.0,0.0,0.0,6.0
Precision instrument makers and repairers,6.0,0.0,0.0,0.0,0.0,6.0
Medical secretaries,0.0,0.0,0.0,0.0,6.0,6.0
Advertising accounts managers and creative directors,0.0,5.0,0.0,0.0,0.0,5.0
Elementary cleaning occupations n.e.c.,5.0,0.0,0.0,0.0,0.0,5.0
Hospital porters,5.0,0.0,0.0,0.0,0.0,5.0
Sewing machinists,5.0,0.0,0.0,0.0,0.0,5.0
Musicians,0.0,0.0,0.0,0.0,5.0,5.0
Metal making and treating process operatives,0.0,5.0,0.0,0.0,0.0,5.0
Financial and accounting technicians,0.0,0.0,5.0,0.0,0.0,5.0
"Actors, entertainers and presenters",0.0,4.0,0.0,0.0,0.0,4.0
Rail transport operatives,0.0,0.0,0.0,0.0,4.0,4.0
Publicans and managers of licensed premises,0.0,0.0,4.0,0.0,0.0,4.0
"Tyre, exhaust and windscreen fitters",0.0,0.0,0.0,0.0,4.0,4.0
Roundspersons and van salespersons,0.0,4.0,0.0,0.0,0.0,4.0
Officers of non-governmental organisations,0.0,0.0,4.0,0.0,0.0,4.0
Communication operators,0.0,4.0,0.0,0.0,0.0,4.0
Podiatrists,0.0,0.0,4.0,0.0,0.0,4.0
"Metal plate workers, and riveters",0.0,3.0,0.0,0.0,0.0,3.0
Police officers (sergeant and below),0.0,3.0,0.0,0.0,0.0,3.0
"Food, drink and tobacco process operatives",0.0,0.0,3.0,0.0,0.0,3.0
Hotel and accommodation managers and proprietors,0.0,3.0,0.0,0.0,0.0,3.0
Butchers,0.0,2.0,0.0,0.0,0.0,2.0
Library clerks and assistants,0.0,2.0,0.0,0.0,0.0,2.0
Steel erectors,0.0,2.0,0.0,0.0,0.0,2.0
Rail travel assistants,0.0,2.0,0.0,0.0,0.0,2.0
"Scaffolders, stagers and riggers",0.0,2.0,0.0,0.0,0.0,2.0
Quarry workers and related operatives,0.0,2.0,0.0,0.0,0.0,2.0
