date,geography_code,geography_name,age_detailed,sex,ethnicity_group,personal_and_community_development_learning,neighbourhood_learning_in_deprived_communities,family_english_maths_and_language,wider_family_learning,total,ach_total,ach_personal_and_community_development_learning,ach_neighbourhood_learning_in_deprived_communities,ach_family_english_maths_and_language,ach_wider_family_learning
2021/22,E07000164,Hambleton,19-24,Total,White,10,low,low,low,20,10,10,low,low,low
2021/22,E07000164,Hambleton,25-34,Female,Asian/ Asian British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,25-34,Female,Black/African/Caribbean/Black British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,25-34,Female,Mixed/ Multiple Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,25-34,Female,Not Provided,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,25-34,Female,Other Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,25-34,Female,Total,40,10,low,10,50,40,30,low,low,10
2021/22,E07000164,Hambleton,25-34,Female,White,30,10,low,10,40,40,30,low,low,10
2021/22,E07000164,Hambleton,25-34,Male,Asian/ Asian British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,25-34,Male,Black/African/Caribbean/Black British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,25-34,Male,Mixed/ Multiple Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,25-34,Male,Not Provided,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,25-34,Male,Other Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,25-34,Male,Total,10,low,low,low,20,10,10,low,low,low
2021/22,E07000164,Hambleton,25-34,Male,White,10,low,low,low,10,10,10,low,low,low
2021/22,E07000164,Hambleton,25-34,Total,Asian/ Asian British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,25-34,Total,Black/African/Caribbean/Black British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,25-34,Total,Mixed/ Multiple Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,25-34,Total,Not Provided,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,25-34,Total,Other Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,25-34,Total,Total,50,10,low,10,70,60,50,low,low,10
2021/22,E07000164,Hambleton,25-34,Total,White,40,10,low,10,60,50,40,low,low,10
2021/22,E07000164,Hambleton,35-44,Female,Asian/ Asian British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,35-44,Female,Black/African/Caribbean/Black British,low,low,low,low,low,low,low,low,low,low
