date,geography_name,geography_code,subject_level,age_youth_adult,achievements,participation
2021/22,Wakefield,E08000036,Essential Digital Skills Entry Level,Adult,10,20
2021/22,York,E06000014,Essential Digital Skills Entry Level,Adult,10,10
2021/22,Bradford,E08000032,Essential Digital Skills Entry Level,Youth,0,0
2021/22,Calderdale,E08000033,Essential Digital Skills Entry Level,Youth,0,0
2021/22,Craven,E07000163,Essential Digital Skills Entry Level,Youth,0,0
2021/22,Hambleton,E07000164,Essential Digital Skills Entry Level,Youth,0,0
2021/22,Harrogate,E07000165,Essential Digital Skills Entry Level,Youth,0,0
2021/22,Kirklees,E08000034,Essential Digital Skills Entry Level,Youth,0,0
2021/22,Leeds,E08000035,Essential Digital Skills Entry Level,Youth,0,0
2021/22,Richmondshire,E07000166,Essential Digital Skills Entry Level,Youth,0,0
2021/22,Ryedale,E07000167,Essential Digital Skills Entry Level,Youth,0,0
2021/22,Scarborough,E07000168,Essential Digital Skills Entry Level,Youth,0,0
2021/22,Selby,E07000169,Essential Digital Skills Entry Level,Youth,0,0
2021/22,Wakefield,E08000036,Essential Digital Skills Entry Level,Youth,0,0
2021/22,York,E06000014,Essential Digital Skills Entry Level,Youth,0,0
2021/22,Bradford,E08000032,Essential Digital Skills Level 1,Adult,20,60
2021/22,Calderdale,E08000033,Essential Digital Skills Level 1,Adult,10,20
2021/22,Craven,E07000163,Essential Digital Skills Level 1,Adult,low,10
2021/22,Hambleton,E07000164,Essential Digital Skills Level 1,Adult,low,low
2021/22,Harrogate,E07000165,Essential Digital Skills Level 1,Adult,low,low
2021/22,Kirklees,E08000034,Essential Digital Skills Level 1,Adult,60,90
2021/22,Leeds,E08000035,Essential Digital Skills Level 1,Adult,50,80
2021/22,Richmondshire,E07000166,Essential Digital Skills Level 1,Adult,low,low
2021/22,Ryedale,E07000167,Essential Digital Skills Level 1,Adult,low,low
2021/22,Scarborough,E07000168,Essential Digital Skills Level 1,Adult,low,low
2021/22,Selby,E07000169,Essential Digital Skills Level 1,Adult,low,10
2021/22,Wakefield,E08000036,Essential Digital Skills Level 1,Adult,30,50
2021/22,York,E06000014,Essential Digital Skills Level 1,Adult,low,low
2021/22,Bradford,E08000032,Essential Digital Skills Level 1,Youth,0,0
2021/22,Calderdale,E08000033,Essential Digital Skills Level 1,Youth,0,0
2021/22,Craven,E07000163,Essential Digital Skills Level 1,Youth,0,0
2021/22,Hambleton,E07000164,Essential Digital Skills Level 1,Youth,0,0
