date,new_la_code,la_name,geography_code,geography_name,apprenticeships_or_further_education,level_or_type,age_group,starts,participation,achievements,starts_rate_per_100000_population,participation_rate_per_100000_population,achievements_rate_per_100000_population
2021/22,,,E07000164,Hambleton,Apprenticeships,Apprenticeships: Advanced,Total,240,540,110,453,1020,210
2021/22,,,E07000164,Hambleton,Apprenticeships,Apprenticeships: Advanced,Under 19,60,120,30,2209,4165,1014
2021/22,,,E07000164,Hambleton,Apprenticeships,Apprenticeships: Advanced,19-24,80,210,40,1792,4894,965
2021/22,,,E07000164,Hambleton,Apprenticeships,Apprenticeships: Advanced,25+,100,210,40,219,460,90
2021/22,,,E07000164,Hambleton,Education and training,Education and training: Total,Total,NA,870,640,NA,1734,1280
2021/22,,,E07000164,Hambleton,Education and training,Education and training: Total,19-24,NA,190,140,NA,4412,3194
2021/22,,,E07000164,Hambleton,Education and training,Education and training: Total,25+,NA,680,500,NA,1479,1097
2021/22,,,E07000164,Hambleton,Education and training,Education and training: Level 2,Total,NA,590,440,NA,1182,872
2021/22,,,E07000164,Hambleton,Education and training,Education and training: Level 2,19-24,NA,90,70,NA,2114,1562
2021/22,,,E07000164,Hambleton,Education and training,Education and training: Level 2,25+,NA,500,370,NA,1093,806
2021/22,,,E07000164,Hambleton,Education and training,Education and training: Level 3,Total,NA,140,80,NA,272,168
2021/22,,,E07000164,Hambleton,Education and training,Education and training: Level 3,19-24,NA,60,40,NA,1264,804
2021/22,,,E07000164,Hambleton,Education and training,Education and training: Level 3,25+,NA,80,50,NA,177,107
2021/22,,,E07000164,Hambleton,Education and training,Education and training: Below Level 2 (excluding Basic Skills),Total,NA,130,110,NA,262,216
2021/22,,,E07000164,Hambleton,Education and training,Education and training: Below Level 2 (excluding Basic Skills),19-24,NA,50,40,NA,1103,804
2021/22,,,E07000164,Hambleton,Education and training,Education and training: Below Level 2 (excluding Basic Skills),25+,NA,80,70,NA,182,160
2021/22,,,E07000164,Hambleton,Education and training,Education and training: Basic Skills,Total,NA,150,110,NA,292,216
2021/22,,,E07000164,Hambleton,Education and training,Education and training: Basic Skills,19-24,NA,40,30,NA,1011,620
2021/22,,,E07000164,Hambleton,Education and training,Education and training: Basic Skills,25+,NA,100,80,NA,223,177
2021/22,,,E07000164,Hambleton,Education and training,Education and training: Level 4+,Total,NA,10,10,NA,28,14
2021/22,,,E07000164,Hambleton,Education and training,Education and training: Level 4+,19-24,NA,low,low,NA,low,low
2021/22,,,E07000164,Hambleton,Education and training,Education and training: Level 4+,25+,NA,10,10,NA,28,13
2021/22,,,E07000164,Hambleton,Education and training,Education and training: Full Level 2,Total,NA,20,10,NA,44,24
2021/22,,,E07000164,Hambleton,Education and training,Education and training: Full Level 2,19-24,NA,10,10,NA,184,115
2021/22,,,E07000164,Hambleton,Education and training,Education and training: Full Level 2,25+,NA,10,10,NA,31,15
2021/22,,,E07000164,Hambleton,Education and training,Education and training: Full Level 3,Total,NA,60,40,NA,128,84
2021/22,,,E07000164,Hambleton,Education and training,Education and training: Full Level 3,19-24,NA,30,20,NA,735,437
2021/22,,,E07000164,Hambleton,Education and training,Education and training: Full Level 3,25+,NA,30,20,NA,70,50
2021/22,,,E07000164,Hambleton,Education and training,Education and training: No Level Assigned,Total,NA,30,20,NA,56,42
2021/22,,,E07000164,Hambleton,Education and training,Education and training: No Level Assigned,19-24,NA,20,20,NA,483,414
2021/22,,,E07000164,Hambleton,Education and training,Education and training: No Level Assigned,25+,NA,10,low,NA,15,low
2021/22,,,E07000164,Hambleton,Community Learning,Community learning: Total,Total,NA,370,330,NA,692,625
2021/22,,,E07000164,Hambleton,Community Learning,Community learning: Total,19-24,NA,20,10,NA,391,322
2021/22,,,E07000164,Hambleton,Community Learning,Community learning: Total,25+,NA,350,320,NA,762,692
2021/22,,,E07000164,Hambleton,Community Learning,Community learning: Personal and community development learning,Total,NA,330,300,NA,618,561
2021/22,,,E07000164,Hambleton,Community Learning,Community learning: Personal and community development learning,19-24,NA,20,10,NA,345,276
2021/22,,,E07000164,Hambleton,Community Learning,Community learning: Personal and community development learning,25+,NA,310,280,NA,681,622
2021/22,,,E07000164,Hambleton,Community Learning,Community learning: Family english maths and language,Total,NA,low,low,NA,low,low
2021/22,,,E07000164,Hambleton,Community Learning,Community learning: Family english maths and language,25+,NA,low,low,NA,low,low
2021/22,,,E07000164,Hambleton,Community Learning,Community learning: Wider family learning,Total,NA,20,20,NA,45,38
2021/22,,,E07000164,Hambleton,Community Learning,Community learning: Wider family learning,25+,NA,20,20,NA,53,44
2021/22,,,E07000164,Hambleton,Community Learning,Community learning: Neighbourhood learning in deprived communities,Total,NA,10,10,NA,27,25
2021/22,,,E07000164,Hambleton,Community Learning,Community learning: Neighbourhood learning in deprived communities,19-24,NA,low,low,NA,low,low
2021/22,,,E07000164,Hambleton,Community Learning,Community learning: Neighbourhood learning in deprived communities,25+,NA,10,10,NA,26,24
2021/22,,,E07000165,Harrogate,Further education and skills,Further education and skills: Total,Total,NA,3290,1750,NA,3726,1984
2021/22,,,E07000165,Harrogate,Further education and skills,Further education and skills: Total,19-24,NA,970,450,NA,14405,6742
2021/22,,,E07000165,Harrogate,Further education and skills,Further education and skills: Total,25+,NA,2320,1300,NA,2843,1590
2021/22,,,E07000165,Harrogate,Further education and skills,Further education and skills: Level 2,Total,NA,1130,690,NA,1280,787
2021/22,,,E07000165,Harrogate,Further education and skills,Further education and skills: Level 2,19-24,NA,260,120,NA,3831,1827
2021/22,,,E07000165,Harrogate,Further education and skills,Further education and skills: Level 2,25+,NA,870,570,NA,1069,701
2021/22,,,E07000165,Harrogate,Further education and skills,Further education and skills: Level 3,Total,NA,980,340,NA,1105,384
2021/22,,,E07000165,Harrogate,Further education and skills,Further education and skills: Level 3,19-24,NA,450,170,NA,6623,2465
2021/22,,,E07000165,Harrogate,Further education and skills,Further education and skills: Level 3,25+,NA,530,170,NA,649,212
