LA,Thing,Count
Leeds,9272,28239
Leeds,9233,27979
Leeds,2319,16884
Leeds,6211,16471
Leeds,3113,15036
Leeds,4159,14953
Leeds,2136,13497
Leeds,5434,13210
Leeds,5435,12241
Leeds,2121,11607
Leeds,1259,11599
Leeds,1181,11464
Leeds,6141,10655
Leeds,1242,9074
Leeds,4216,8962
Leeds,6231,7953
Leeds,1132,7781
Leeds,2122,7719
Leeds,7129,6989
Leeds,2135,6827
Leeds,3443,6580
Leeds,2129,5586
Leeds,3132,5023
Leeds,3562,4376
Leeds,2423,4222
Leeds,2123,4146
Leeds,9234,4019
Leeds,2421,3857
Leeds,5241,3792
Leeds,6240,3744
Leeds,8211,3584
Leeds,3543,3525
Leeds,1251,3498
Leeds,2426,3342
Leeds,2433,3296
Leeds,2137,3289
Leeds,2424,3272
Leeds,7219,3269
Leeds,6146,3198
Leeds,2134,3195
Leeds,6232,3128
Leeds,4122,2875
Leeds,5314,2864
Leeds,2311,2834
Leeds,3131,2816
Leeds,3545,2683
Leeds,2139,2494
Leeds,3119,2458
Leeds,7130,2388
Leeds,2462,2206
Leeds,2126,2140
Leeds,2461,2117
Leeds,1131,2109
Leeds,9260,1944
Leeds,2413,1886
Leeds,7220,1760
Leeds,1122,1753
Leeds,3534,1752
Leeds,1115,1718
Leeds,1121,1705
Leeds,2436,1644
Leeds,6122,1559
Leeds,3542,1518
Leeds,3116,1397
Leeds,6121,1393
Leeds,9120,1388
Leeds,5249,1385
Leeds,4123,1371
Leeds,2435,1350
Leeds,3122,1324
Leeds,3114,1323
Leeds,4134,1279
Leeds,2213,1264
Leeds,3563,1255
Leeds,3541,1201
Leeds,1133,1177
Leeds,1139,1163
Leeds,2431,1161
Leeds,9219,1147
Leeds,3520,1114
Leeds,5225,1083
Leeds,3531,1076
Leeds,3239,1076
Leeds,3539,1071
Leeds,5223,1067
Leeds,4161,1065
Leeds,3115,1045
Leeds,2112,1037
Leeds,1135,1028
Leeds,1136,1027
Leeds,2127,994
Leeds,3567,975
Leeds,1223,944
Leeds,4129,943
Leeds,2434,911
Leeds,2211,904
Leeds,3218,890
Leeds,2113,876
Richmondshire,7214,79
Richmondshire,5431,79
Richmondshire,3119,72
Richmondshire,9233,60
Richmondshire,5315,57
Richmondshire,8239,52
Richmondshire,4159,51
Richmondshire,9260,47
Richmondshire,8211,47
Richmondshire,5234,30
Richmondshire,1162,22
Richmondshire,3113,15
Richmondshire,7219,15
Richmondshire,8132,14
Richmondshire,5449,13
Richmondshire,4122,12
Richmondshire,2421,12
Richmondshire,2121,12
Richmondshire,5235,12
Richmondshire,3531,12
Richmondshire,8141,12
Richmondshire,2137,10
Richmondshire,2136,9
Richmondshire,3421,8
Richmondshire,9120,8
Richmondshire,9219,7
Richmondshire,3132,7
Richmondshire,5434,6
Richmondshire,8234,6
Richmondshire,6139,6
Richmondshire,3543,5
Richmondshire,9111,5
Richmondshire,3562,5
Richmondshire,4151,5
Richmondshire,2424,5
Richmondshire,5231,5
Richmondshire,3417,4
Richmondshire,2413,4
Richmondshire,8125,4
Richmondshire,7115,4
Richmondshire,2434,4
Richmondshire,9235,3
Richmondshire,1251,3
Richmondshire,7129,3
Richmondshire,2423,3
Richmondshire,9272,3
Richmondshire,1259,3
Richmondshire,3542,3
Richmondshire,7111,3
Richmondshire,2435,3
Richmondshire,3412,2
Richmondshire,6122,2
Richmondshire,3219,2
Richmondshire,5412,2
Richmondshire,3218,2
Richmondshire,9134,2
Richmondshire,2319,2
Richmondshire,6141,1
Richmondshire,4214,1
Richmondshire,1211,1
Richmondshire,1134,1
Richmondshire,6232,1
Richmondshire,7113,1
Richmondshire,5241,1
Richmondshire,6145,1
Richmondshire,7125,1
Richmondshire,6240,1
Richmondshire,1132,1
Richmondshire,4216,1
Richmondshire,5113,1
Richmondshire,3115,1
Richmondshire,5215,1
Richmondshire,9249,1
Richmondshire,9139,1
Richmondshire,7130,1
